Paragraph,True lang,Predicted lang
"1876 - Aleksandris Grehems Bels (Alexander Graham Bell) dabova patentu sovai ītaisei, kuru pasauce par teleponu (ASV patenta numers 174,464);",ltg,lav
"Nicholas ""Nicky"" F. Oppenheimer (1945-yil 8-iyun) – Afrikalik milliarder, olmos, oltin qazib olish ishlari bilan faoliyat yurituvchi yirik konchilik firmalarining aksiyadori",uzb,kaa
"As previously mentioned, during the 1984 NBA Finals, Lesley Visser (wife of lead NBA on CBS play-by-play announcer Dick Stockton) became the first woman to cover an NBA Finals. She joined CBS Sports part-time in 1984 before joining full-time in 1987. When she was part-time with CBS, she still worked for the Boston Globe, as she had many diverse assignments with the newspaper. Visser became the first female NBA beat writer in 1976, when she was assigned to cover the Boston Celtics. Visser resigned from the Globe in late 1988.",cbk,eng
"I rari verbi di sta cunghjugazioni (""aé"", ""cunviné"", ""cridé"", ""essé"", ""intindé"",""priidé"", ""sapé"", ""tiné"", ""vidé"", ""viné"", ""vulé"") so' tutti irregulari.",cos,lmo
"Руська Правда. Тексти на основі 7 списків та 5 редакцій. Склав та підготував до друку проф. С. Юшков. Видавництво Української Академії Наук. Київ, 1935. - 古典スラヴ語本文。ウクライナ語サイト。",jpn,rue
"Meùrth e Mosèll (Meurthe-et-Mosellè) è nu' dipartimènt francès ra' regiòn Lorenà (Lorrainè). Confìn cu e' dipartimènt ra' Mosèll a nord-èst, ro' vascio Renò a èst, dei Vosgì a sud e ra' Mosà a ovèst. A nord-ovèst confìn cu o' Belgiò (provincià ro' Lussemburgò) ed o' Lussemburgò.",nap,lij
"A This currency is not used in day to day commerce, but is legal tender. It is minted and/or printed as commemorative banknotes and/or coinage.",mai,hif
"His book 1421: The Year China Discovered the World, is a work of sheer fiction presented as revisionist history. Not a single document or artifact has been found to support his new claims on the supposed Ming naval expeditions beyond Africa...Menzies' numerous claims and the hundreds of pieces of ""evidence"" he has assembled have been thoroughly and entirely discredited by historians, maritime experts and oceanographers from China, the U.S., Europe and elsewhere.",jpn,pus
"'The Triumph of Idealism', lecture by Professor Keith Ward offering a positive view of Idealism, at Gresham College, 13 March 2008 (available in text, audio, and video download)",lao,eng
"Равич И. Г., Шемаханская М. С., ГринкругМ. С. К вопросу о восстановлении хрупкого археологического серебра // Реставрация, исследование и хранение музейных художественных ценностей / ГЕЛ. Информкультура. - М., 1978. Выл. I. -С. 12.",srp,bel
"t Kreagn n noam in 1663 deur n seigneur van t eailaand, François Doublet, noar zinne wief, Madeleine Fontaine. In 1755 warn de eailaandn beweund deur Fraans-spreknde Akadienen. Wannear de Britn de Akadienen oet de Zeaprevinsies van Kannada verbann döa, kömn zee nich zoo wiet as de Îles de la Madeleine. Töt öp n dag van vandoag vlög de Akadiense vlagge nöch immer öp t eailaand, en zeet de inwönner (Madelinotes) zichzölf nöch aajt as zoowa Akadienn as Québécois.",nds-nl,lim
"माडी नदीको पुल २०५२ सालमा नै निर्माण भएकोले सोही वर्षदेखि जिल्लामा लिवाङ-काठमाडौं रात्री बस सेवा तथा छिमेकी जिल्ला दाङको घोराही र भालुवाङवाट दैनिक दिवा वस सेवा नियमित र वर्षामा मौसम अनुकुल साचालन भईरहेका कारण लिवाङसम्म सहजै पुग्न सकिन्छ। यसरी नियमित यातायात (वस/ट्रक) सेवाबाट जिल्लाका व्यापारीहरूलाई आफ्नो सामान ढुवानी र आवत-जावत गर्न सुविधा पुग्नुको साथै सर्वसाधारणहरूलाई पनि जिल्ला बाहिर आवत-जावत गर्न सुविधा पुगेको छ। दाङको भालुवाङदेखि लिवाङसम्मको सडक विसं २०६७ मा कालोपत्र गरिए पछि सवारी आवागमन झनै सहज भएको छ । यो सडकको अतिरिक्त रोल्पा जिल्लाको सदरमुकाम लिवाङ र दाङ जिल्लाको सदरमुकाम घोराहीलाई जोड्ने अर्को सडक जिल्लाको पश्चिमी भागलाई छोएर निर्माण गरिएको छ । होलेरी, नुवागाउँ, गैरीगाउँ तिला, माडिचौर हुँदै लिवाङ पुग्ने यो बाटो भने कच्ची छ । कच्ची बाटो र माडी खोलामा पुल भएको कारणले गर्दा बर्षाद्का महिनाहरूमा भने यो बाटो अवरुद्ध हुने गरेको छ । त्यसै गरी रोल्पाको थवाङलाई जोड्ने सहिद मार्ग निर्माणाधिन छ । यो सडकको घर्तीगाउँसम्म यातायत सेवा सुरु भइसकेको छ ।",nep,dty
"Коклы утла книгӓн авторжы , Мары АССР-ын халык поэтшӹ (1980), Мары АССР-ын Государственный премин лауреатшы (1972), РСФСР культурын заслуженный пӓшӓзӹжӹ (1986). 1926 ин 14 февральын Кырык мары районыштышы Кыльыкал солашты хресӓнь семняэш шачын.",mrj,mhr
Dagiti inadaw a sasao a mainaig kenni Muḥammad ibn Mūsā al-Khwārizmī iti Wikiquote (iti Ingles) Midia a mainaig kenni Muḥammad ibn Mūsā al-Khwārizmī iti Wikimedia Commons,ilo,lij
"У творчасьці Яна Райніса арганічна спалучаюцца вобразная мэтафарычная форма з глыбокай філязофскай сымболікай, рэалізм з тонкім лірызмам, фальклёрныя матывы.",be-tarask,bel
بڕوای وابووه‌ که‌ فه‌یله‌سوف یه‌ک کتێب ده‌نووسێت، ئه‌ویش ته‌نها یه‌ک کتێبی به‌ده‌ستی خۆی نوسیووه‌ بون وکات ته‌واوی کتێبه‌کانی دیکه‌ی، یان گفتۆکانن له‌گه‌ڵ په‌یام نێرانا، یاخود ئه‌و وانانه‌ن که‌ له‌ زانکۆ وتویه‌ته‌وه‌.,ckb,glk
"„ΓΡΑΜΜΑΤΙΚΗ ΡΩΜΑΝΙΚΗ ΗΤΟΙ ΜΑΚΕΔΟΝΟΒΛΑΧΙΚΗ, ΣΧΕΔΙΑΣΘΕΙΣΑ ΚΑΙ ΠΡΩΤΟΝ ΕΙΣ ΦΩΣ ΆΧΘΕΙΣΑ ΥΠΟ ΜΙΧΑΗΛ Γ. ΜΠΟΪΑΤΖΗ, ΔΙΔΑΣΚΑΛΟΥ ΤΗΣ ΕΝΤΑΥΘΑ ΑΠΛΟΕΛΛΗΝΗΚΗΣ ΣΧΟΛΗΣ”",rup,ell
Yaa lammii Koo Hantuu Isihin Argiin Galaatoomaa. Barataa Ashanaafi Waaqoo Maqaa Manaa Sad/1ffaa Marsa/2ffaa Banqoo Bayyaa Ani Barataa Kutaa8ffaa Jedhama Galaatoommaa!!!!!,orm,olo
ທິດຕາເວັນອອກ ຕິດຕໍ່ກັບເຂດທຸ່ງຄຸແລະອຳເພີພະສະໝຸດເຈດີ (ຈັງຫວັດສະໝຸດປາການ) ມີຄອງບາງມົດ ຄອງຮາງແມ່ນ້ຳ ຄອງຮາງດ້ວນ (ຄອງສວນ) ຄອງຮາງກະນົກ ຄອງນາ ຄອງຫົວກະບື ແລະຄອງຂຸນລາດພິນິດໃຈ (ຄອງກົງ) ເປັນເສ້ນແບ່ງເຂດ,lao,khm
"Gumbu, makumbu kana mupuyuwuyu (broad much frequented path) inzira pamhi iri yetsoka inoshandiswa zvakanyanya. Mamwe maDuramazwi anoturikira kuti highway.",sna,kin
"На закате ; Есть в глазах твоих...: стихи / пер. А. Казакова, А.Ойс- лендера // Песня, ставшая книгой : рожденная Октябрем поэзия. М., 1972. С. 375.",mhr,myv
"He was a economics graduate from Elphinstone College, Mumbai. He was an industrialist in plastics business. He served as a president of Gujarat Chamber of Commerce and Industry in 1990s.",guj,hif
"Daniel, R.R. (1992), ""Space Science in India"", Indian Journal of History of Science, 27 (4): 485-499, New Delhi: Indian National Science Academy.",som,lez
"Situada por debajo de la región Rupa-Rupa (entre los 80 y los 400 m de altitud), se caracteriza por la presencia de grandes ríos y numerosos lagos y lagunas semicirculares (cochas o tipishcas). Recibe precipitaciones muy abundantes (2.000 a 3.000 mm anuales), que provocan con frecuencia el desbordamiento de los ríos. Hay algunas elevaciones aisladas, como la cordillera de San Francisco. En su fauna destaca el perezoso de tres dedos, el Mono araña y el tapir",cbk,spa
"Заднеязычные согласные в интерферированной русской речи коми билингвов / Г.В.Пунегова // Филологические науки. Вопросы теории и практики: Научно-теоретический и прикладной журнал: в 2 ч. – Тамбов: Изд-во «Грамота», 2008. – ISSN International Centre, Париж, Франция (ISSN1997-2911). – Ч.2. № 1 (1). – С.107-111.",koi,myv
Autrement dit : il suffit de conserver les bits de l'adresse là où les bits du masque sont à 1 (un certain nombre de bits en partant de la gauche de l'adresse). La partie numéro d'hôte est contenue dans les bits qui restent (les plus à droite).,frp,fra
"Матэматычнае чаканне // Беларуская энцыклапедыя: У 18 т. Т. 10: Малайзія — Мугаджары / Рэдкал.: Г. П. Пашкоў і інш. — Мн.: БелЭн, 2000. С. 212.",bel,be-tarask
"Аллагьасе рукIине тIадал къоялго сифатал: Ватизе тIалъи, авал гьечIолъи, ахир гьечIолъи, сундего хIажалъуларев вукIин, сундаго релъунгутIи, жив цо вукIин, сундуего хIалкIолъи, кинабго бокьи, кинабго лъай, даимаб чIаголъи, кIалъай, кинабго рагIи, кинабго бихьи, сундаго хIал кIолевлъун вукIин, кинабго бокьулевлъун вукIин, кинабго лъалевлъун вукIин, даим чIагоявлъун вукIин, кIалъалевлъун вукIин, кинабго рагIулевлъун вукIин, кинабго бихьулевлъун вукIин.",ava,lez
"Zyn reloatie mè Club Brugge es nogol specioal. In een êeste periode van 1998 tot 2003 kwam ie bykans nie an speeln toe. In totoal speelde ie moar 9 matchn, want de concurrentie mè Timmy Simons wos môordend. Gefrustreerd trokt ie voo een appel en een ei noa Lokeren in de winter van 2003, woar da't ie vulip speelgeleegneid kreeg. Ie es ipgemerkt gewist deur Standard, woar da't ie in 3 sezoenn de pann van et dak speelde en rôo duvel kwaam. In 2007 eit ie zyn contract loatn oflôopn mè Standard en es't ie deur de vôordeure en mè een zwoar contract (best betoalden Belg) were noa Club Brugge gekoomn. Doar kreegt ie de centroale controleernde rolle ip et middnveld.",vls,lim
"Al re, fin alora ch'l'era staa acsì tard e pigr, cumè s'al s'fuss dasdaa dal son, prinsipiand da l'ingiuria fata a 'sta dona, che asprament al vendiché, al dvinté un persecutor grandissim 'd tut quei che contra l'unor dla curona i cumitess qualcosa d'alora in avanti.Giovanni Papanti, I parlari italiani in Certaldo, 1875, pagg. 290-291",egl,roh
1919 вося вӧльгым тӧлысьӧ пырӧма Усть-Сысольскса партизанъяслӧн котырӧ. Унаысь ветлӧма враглӧн тылӧ да вайӧма колана юӧрръяс. Ӧшым тӧлысьӧ Домна Каликоваӧс еджыдъяс кыйисны Кулöмдiн районса Аныб сикт дорын разведка дырйи да ёна нӧйтісны. Сійӧс вӧлі лыйлӧма ӧшым тӧлысь 22-ӧд лунӧ Помӧсдін сиктсянь неылын Эжва ю вылын.,kom,koi
"Antropologi budaya menjelaskan masyarakat menungsa sing berbeda-beda, dan sejarah mencatat interaksi mereka berikut kesuksesan sing dialami. Organisasi dan pemerintahan bentuk modern dijelaskan oleh Ilmu Politik dan Ekonomi.",map-bms,tet
出版商申請以後，會分配到國際標準書號其蜀萆數字區域，機構會根據使用量來預計出版商卜挃其圍再分配给伊，越大其出版商所取得的位數越嫩（代表書碼其範圍會使容納更更価）。一旦發現分配其數字區域無夠使，出版商就再分配遘另外蜀萆範圍供伊使，也就是再獲得蜀萆出版商編號。故此，各萆國家共各萆出版社其國際標準書號位數會因其狀況來做最好其分配。,cdo,zho
"Reka noneho twibaze: ""Niba koko Umugambi Mushya w’Iterambere muri Afurika (NEPAD) wakabaye kimwe mubyatuma Africa itera imbere abayobozi b'ibihugu bya Africa bagira uruhe ruhare mugushyira mubikorwa uwo mugambi""?",kin,lug
"Azul.... Valparaíso: Imprenta Litografía Excelsior, 1888. Segunda edición, ampliada: Guatemala: Imprenta de La Unión, 1890. Tercera edición: Buenos Aires, 1905.",aym,spa
"Domba pada mayoritas masyarakat agraris di Tatar Pasundan merupakan jenis hewan ternak yang biasanya dimiliki selain sapi, ayam, dan bebek. Hewan ini selain digembalakan untuk memanfaatkan keberlimpahan rumput juga berguna sebagai penghasil pupuk organik yang dapat diinstensifikasikan penggunaannya pada upaya penyuburan ladang atau kebun rumahan pada umumnya. Selanjutnya, dalam sejarahnya domba sebagai hewan domestik masyarakat agraris ini kemudian berkembang menjadi seni tradisi adu ketangkasan.",ind,map-bms
"O partido federalista do Rio Grande do Sul (1892 - 1928), Cadernos de História, Memorial do Rio Grande do Sul, Nº 13, Sérgio da Costa Franco. (en portugués) PDF",spa,glg
ជំនឿ​នៅ​កម្លាំង​ក្រៅ​ខ្លួន គឺ​ជា​មនោគមវិជ្ជា​ដ៏​ពេញ​និយម​របស់​អ្នក​កាន់​អាវុធ​។ គេ​បាន​ចាត់​ទុក​ថា​ជា​កត្តា​មួយ ដែល​អាច​ជំរុញ​ឱ្យ​មាន​ប្រសិទ្ធភាព​ក្នុង​ការ​ប្រយុទ្ធ​របស់​កងទ័ព​ខ្មែរ​ឥស្សរៈ​​ផង​ដែរ ព្រោះ​វា​ធ្វើ​ឱ្យ​ពួក​គេ​មាន​ភាព​កក់​ក្ដៅ និង​ការ​ជឿជាក់​ក្នុង​ខ្លួន​។ ទ្រង់​ចន្ទរង្សី​ជា​មនុស្ស​ម្នាក់​មាន​ជំនឿ​យ៉ាង​មុត​មាំ​លើ​មន្ត​អាគម និង​អភិនីហារ​បែប​នេះ​ដែរ​។ ក៏​ដូច​ជា​មេ​ខ្មែរ​ឥស្សរៈ​ដទៃ​ទៀត​ដែរ ទ្រង់​តែង​ពាក់​បន្តោង​យ័ន្ត និង​គ្រឿង​ស័ក្ដិ​សិទ្ធិ​ផ្សេងៗ ដែល​គេ​ហៅថា “ផ្ទៃគ្រូ”។ ពួក​គេ​តែង​សាក​ល្បង “ផ្ទៃគ្រូ” ជា​រៀង​រាល់​សប្ដាហ៍ ដើម្បី​ល្បងមើល​ថា​ តើ “ផ្ទៃគ្រូ” នេះ​មាន​បារមី​យ៉ាងណា​? លោក នី វ៉ាន់ធី តែង​​សង្កេត​ឃើញ​ថា ភាគ​តិច​​ណាស់​ដែល​ពួក​គេ​បាញ់ “ផ្ទៃគ្រូ” ត្រូវ​។ ដូច្នេះ​ហើយ កំឡុង​ពេល​នោះ គាត់​ពិបាក​នឹង​ជឿ​លើ​បារមី​បាញ់​មិន​ត្រូវ ដុត​មិន​ឆេះ​របស់​កន្សែងយ័ន្ត​នេះ​ណាស់​។ ប៉ុន្តែ គាត់​ត្រូវ​ស្ទាក់​ស្ទើរ​វិញ ដោយ​សារ​ការភ្នាល់​គ្នា​រវាង​ក្រុម​គាត់​ជាមួយ​នឹង​ពួក​យួន​យៀក​មិញ​។ នាយទាហាន រស់ ហឿន ដែល​ជា​កូន​ចៅ​ម្នាក់​របស់​ទ្រង់ មាន​ជំនឿ​​ងប់​ងល់​លើ​គ្រឿង​វត្ថុ​ស័ក្ដិ​សិទ្ធិ​ទាំងនេះ ដំណាល​ពេល​ដែល​មេ​ទ័ព​យួន​យៀក​មិញ មិន​ជឿ​លើ​ជំនឿ​ផ្ដេសផ្ដាស​បែប​នេះ​។ រឿង​​ភ្នាល់​គ្នា​នេះ បាន​កើតឡើង​នៅ​កំឡុង​ឆ្នាំ ១៩៤៩ នៅ​ចំ​ពីមុខ​បន្ទាយ​របស់​ក្រុម​ទាំងពីរ​នេះ​។ កាល​នោះ ទាំង​ពីរ​ក្រុម​បាន​បោះ​ទីតាំង​ទ័ព​នៅ​ទល់មុខគ្នា ដោយ​ដាក់​ទង់ សម្គាល់​​របស់​ផង​ខ្លួន​នៅ​ទន្ទឹម​​គ្នា មិន​ឱ្យ​ទាប ឬ​ខ្ពស់​ជាង​គ្នា​ឡើយ​។ ដូច​សព្វ​មួយដង នៅ​ព្រឹក​មួយ ទាំង​ពីរ​ក្រុម​បាន​ចេញ​មក​គោរព​ទង់​សម្គាល់​រៀងៗ​ ខ្លួន​។,khm,amh
"Расширение России возможно в том числе за счёт независимых государств, в частности, территорий, которые могут когда-либо получить такой статус. Из соседних с Россией государств, стремящимися к интеграции с ней, включая непризнанные (частично признанные), Белоруссия и Абхазия не планируют стать субъектами Российской Федерации (при этом соответственно вступив или пожелав вступить в Союзное государство), а Южная Осетия, Приднестровье и ранее Абхазия (в 1995 году), а также Принаровье и Рудный Алтай (попытки провозглашения республик в которых соответственно на северо-востоке Эстонии и на северо-востоке Казахстана предпринимались русскоязычным большинством в 1990—1994 гг.) такое намерение проявляли.",mhr,rus
"Al festival ad Gabèc l'è al title d'na canzòn ad Biagio Antonacc dal mel nuvcent nuventa i on (1991), indò al cantautor imita quasi alla prefeziòn li vòc e li stil ad Fabio Cunched, ad Luca Carbòn e ad Albert Fortis, imaginand se stes e i tre culegh ancora esordiènt partecipant ma na ipotetica manifestazion canora tl'omonina lucalità, indò i avrìa fat fiasc a vantag d'ilustre sconosciud armast po' tl'anunimed.",egl,roh
"ދަ މައިންޑް އޮފް އިސާކް ނިއުޓަން By combining images, audio, animations and interactive segments, the application gives students a sense of Newton's multifaceted mind.",div,sin
"عرض موسيقى غنائى حول المراهقين والحب خلال الخمسينيات،ففى كاليفورنيا عام ١٩٥٨ دانى زوكو(John Travolta)يقع فى الحب مع الأسترالية ساندى أولسون (Olivia Newton)على الشاطئ خلال العطلة الصيفية،وينتهى الصيف ويودع كل منهما الاخر،فسوف تعود ساندى لبلدها،وتكون القبلة الاخيرة بينهما. نظرا لظروف عمل والد ساندى،يقرر البقاء فى أمريكا،لتلتحق ساندى بمدرسة ريدل الثانوية،وهى نفس مدرسة دانى زوكو،ولكن دانى بالمدرسة غير دانى بالشاطئ،فهو فى المدرسة زعيم جماعة الطيور السوداء(يرتدون سترة سوداء)ويؤمنون ان الزعيم لا يخلص لفتاة واحدة. بينما تعرفت ساندى على فرنشى(Didi Conn)العضوة فى فريق السيدات الوردية(يرتدون ملابس وردية)بقيادة ريزو(Stockard Channing)ويفرطون فى عذريتهم،ولذلك وجدت ساندى نفسها وحيدة. وبتشجيع من نيكى(Jeff Conaway) الرجل الثانى فى عصابة الأولاد،يحكى دانى عن علاقته الصيفية مع ساندى،ويبالغ فى وصفه،فهو لايدرى ان ساندى معه فى نفس المدرسة.وبتشجيع من باتى(Susan Buckner)تحكى ساندى عن علاقتها بدانى. يقوم الوردى بمحاولة لم شمل ساندى ودانى،ولكن معتقدات زعيم الطيور السوداء تحول دون استمرار العلاقة.فرنشى تقنع ساندى بالمبيت فى منزلها مع باقى أفراد الجماعة الوردية،حيث يدخنون السجائر ويشربون النبيذ،ولم تستطع ساندى التأقلم معهم فسخروا منها جميعا،وهم يغنون ""Look at Me,I'm Sandra Dee""يخرج الجميع من منزل فرنشى،وتنصرف كل جماعة لمكان مختلف،بينما ينفرد نيكى مع ريزو فى سيارته الجديدة لممارسة الجنس. وتذهب ساندى بعيدا،فإنها رغم كل شئ مازالت تحب دانى. يبحث دانى عن ساندى ليعتذر لها عن أفعاله،ولكنه يجدها تحتسى البيرة مع توم شيزم(Lorenzo Lamas) فيقرر اذا كان هذا هو الطراز الذى تحبه ساندى،فلماذا لا أكون مثله. دانى يأخذ ساندى بعيدا ليبثها حبه دون ان يرى زملاءه ضعفه نحوها،ولكنه يفاجأ بأن الجميع موجود بنفس المكان. وفى النهاية يأتى دانى وقد لبس فوق ملابسه السوداء،سترة بلون مختلف دليلا على تغير أفكاره،بينما جاءت ساندى ترتدى بلوزة سوداء تكشف عن أكتافها وبنطلون ضيق وحذاء احمر بكعب عال وفورمة شعر لولبية،وبيدها سيجارة، لقد تخلت ساندى عن إحتشامها. ويراها دانى مثيرة فيأخذها بعيدا وهم يغنون سويا We Go Together بينما تكتشف ريزو انها ليست حامل بعد كل الذى جرى،فتأخذ نيكى ويسارعوا وراء ساندى ودانى وهم يرددون نفس الأغنية. (Grease)",arz,ara
"Емельянов-Лукьянчиков М. А. Иерархия радуги. Русская цивилизация в наследии К.Леонтьева, Н.Данилевского, О.Шпенглера, А.Тойнби. М., Русский мир, 2008, 700 с.",bel,rus
"1821: Wilhelm Meisters Wanderjahre, oder Die Entsagenden (Wilhelm Meister's Journeyman Years, or the Renunciants/Wilhelm Meister's Travels), Ungal",kab,deu
"Jörg Reimann: Venedig und Venetien 1450 bis 1650. Politik, Wirtschaft, Bevölkerung und Kultur: Mit zwei Füssen im Meer, den dritten auf dem platten Land, den vierten im Gebirge. Verlag Dr. Kovac,, Hamburg 2006.",dan,dsb
"La emozion al puà definirsi tant che une sequenza di cambiamenti di stato che interviene in cinche sistemi organis (cognitîf, neurofisiologico, motôr, motivazionâl, consiglio), in modo interdipendent e sincronizzato in risposte alla valutazion di la partinenza di un stimolo esterno o interno rispetto ad un interesse centrâl par l'organismo.",fur,lij
"Meritaton hod ön Schwester, Maketaton, di met 10 Joohr storv. Beede wosse ä Theben op, spiir trock Meritaton no Acheton, di Stadt, di hörö Papp zo Iihr van dr Jott Aton opbouwe leed.",ksh,als
خیمهٔ مکیون پشت تپه‌یی بی‌یه و بدی‌ین نواشه. سپیده‌دم هفدهم رمضون، قریشیون تا بالای عقنقل پیشروی هاکردنه، و سپس پایین سراشیبی خیمه بزونه و طرفین درگیری بتونستنه همدیگر ره بَوینن. چن نفر از مشرکون همون موقع نزدیک بمونه و همگی به جز حکیم بن حِزام کوشته بَینه. وقتی بدینه تعداد مسلمونا از اونچی فکر کاردنه کمتر هسته، عمیر بن وهب جمعی ره برسنی‌یه تا بوینه کسای دیگری هم کمین هاکردنه یا نا، و وه گشت بزوئه و کسی ره ندی‌یه، بردگردسته و خَوِر ره بائوته ای بائوته که: «…هیچکه از وشون کوشته نوانّه مگر اونکه کسی از شِما ره بکاشن…» و وه مکه دله به غیب‌گویی شهرت داشته و همین باعث تأثیرپذیری بیشتر سپاه از ونه حروفا بیّه. حکیم بن حزام عتبة پَلی بورده و ونجه بخاسته خون‌بهای شخص مقتول رویداد نخلة (عمرو بن حضرمی) ره به ونه برار، عامر بن حضرمی، هادن تا اتا از بهانه‌ئون اصلی این جنگ ره رفع هاکنه و از جنگ دکتن جلوگیری هاکنه. عتبة قبول هاکرده، و وه ره بائوته وه هم ابوجهل ره راضی هاکنه تا جنگ ره ول هاکنه. عتبة پیش سپاه بورده و بائوته: «ای مردمون قریش، بجنگستن با محمد و پیروونش هیچ سودی شِمه وسه ندانّه. اگر وشون ره بکاشین، هرکومتا شِما جه به دیگری که شمه فامیلون ره [از بین مسلمونا] بکوشته بیّه، با تنفر إشنه. پس بردگردین و محمد ره دیگر اعراب وسّه بی‌یلین…» اما پیش از اینکه تصمیم سپاهیون جنگ وسّه عوض بواشه، ابوجهل عتبة ره به «بترسی‌ین از بکوشته‌بیّن خادش و ونه وچه(که بین مسلمونا بی‌یه)» متهم هاکرده، و همچنین عامر پَلی بورده و وه ره ترغیب هاکرده که فرصت انتقام‌گیری ره از دست نده.,mzn,glk
"La tarde fue pasada por Nerón recitando un poema. (Caso agramatical que demuestra que la transformación de complemento directo en sujeto no es posible para el papel semántico ""tiempo"").",spa,cbk
"« Destructief narcisme en projektieve identificatie. », an M. Kinet & L. Moyson (Éd.), Psychoanalytisch Actueel Nr. 1, Grootse patiënten, kleine therapeuten: narcisme en psychotherapie. Antwerpen: Garant Uitgevers, 2007.",ltz,bcl
"Avital Haim Selinger (Haifa, 10 de março de 1959) é um ex-jogador de voleibol dos Países Baixos que competiu nos Jogos Olímpicos de 1988 e 1992.",por,ita
"2007: Gippert, Jost / Sarjveladze, Zurab / Kajaia, Lamara: The Old Georgian Palimpsest Codex Vindobonensis georgicus 2. Edited by Jost Gippert in co-operation with Zurab Sarjveladze and Lamara Kajaia. (Monumenta Palaeographica Medii Aevi, Series Ibero-Caucasica, 1) Turnhout: Brepols 2007.",pfl,dsb
"Ерафей Васілевіч Касценіц (4 кастрычніка 1854 г., в. Азёрая (былая вёска Мужычок) Хоцімскі раён — 24 снежня 1905) — расійскі хірург беларускага паходжання.",bel,be-tarask
"एयरपोर्ट रोडमा लगभग १ कि.मी. उत्तरमा वेणुबन विहार नामक एउटा बौद्ध मन्दिर छ। गेदू मियां मस्जिद, जो अनौठो तरिकाका क्राकरीको फुटेका टुकुराले बनाइएको र हेर्नलायक छ।",dty,nep
"この記事にはアメリカ合衆国内で著作権が消滅した次の百科事典本文を含む: Chisholm, Hugh, ed. (1911). ""La Rochejacquelein, De"". Encyclopædia Britannica. 16 (11th ed.). Cambridge University Press.",jpn,hrv
شروین هم به ناچار ئو از ترس داعی کبیر با وه صولح هکرده ئو پیمون خادش ره تا روزگار «حسن بن قاسم»، داعی صغیر و جانشین داعی کبیر، همینتی داشته. اما داعی بر اون بیه که شروین ره از میون بیره ئو بر سرتاسر طبرستون چیره بوّه. از سوی دیگه، ابوالحسین - پسر داعی کبیر - که با داعی صغیر پنهونی دشمنی کارده ، شروین ره از خواستئون داعی مطلع بساته. شروین دربورده ئو داعی به ولایت وه رو بیارده ئو خرابیئون زیادی به بار بیارده. جالب اونه که زمونی که ماکان بن کاکی به یاری ابوالقاسم و ابوالحسین - وچون داعی کبیر - بر داعی صغیر بتازینه، شروین جانب داعی ره بیته . با این همه، بعد از بمردن داعی صغیر (۳۱۶ ق/۹۲۸ م) به ماکان کاکی دربمو تا قلمرو خادش ره حفظ هکنه.,mzn,glk
"Аўстра́лія (ад лац.: australis — «паўднёвы») — самы маленькі мацярык Зямлі, плошча 7,7 млн. км². Увесь мацярык займае адна краіна — Аўстралійскі Саюз.",bel,be-tarask
"Roman Puértolas (nascite le 21 de decembre 1975 in Montpellier, Francia) es un autor francese. Ille es le plus cognoscite pro su novella best-seller ""Le viage extraordinari del fakir qui esseva capturate in un armario de Ikea"" (2013) e ""Le parve puera qui glutiva un nube si grande como le Turre Eiffel"" (2015). Le secunde libro habeva vendite 100.000 exemplares in Francia in augusto 2014 e esseva alora traducite in 36 linguas pro devenir un best-seller international.",ina,ile
"I kosode (letteralmente ""piccola manica"") erano originariamente indossati come biancheria, ma, durante l'era Kamakura, venne accettato come indumento per uno strato più esterno, più elegante, con maniche meno scolpite. I Kosode delle ere Heian e Kamakura erano sempre bianchi. Il kosode di Kikyo assomiglia molto di più ad un keikogi usato nel Kendo e nel Naginata, con la manica che stranamente si trova più vicina, come una moderna maglia larga, e si estende poco al di là del polso.Le fenditure sui lati di un hakama mostrano il bianco kosode e le aperture delle maniche e delle spalle di un hitoe (giacca) lo mostrano a sua volta. Questo è un deliberato effetto stilistico, basato sulla moda del tempo.Hakama",ita,kin
"Pa los casus enos qu’el raical esmiençava pol s + oclusiva, el latín apañó essas dos consonantis siguias de la vocal que tuviessi el raical: spŏspondai > spŏpondī.",ext,cdo
"Aa.Vv.,Salvatore Farina. La figura e il ruolo a centocinquanta anni dalla nascita, a c. di D. Manca, I-II voll., Sassari, Edes, 2001, pp. 550",srd,roa-tara
"Frévent, son histoire pèr Jean-Alain ACQUART, René GUITTARD, Jean-Paul MICHILSEN, Christian PARENTY, Philippe PIC, Mighette PRUVOST pi Charles REVILION",pcd,frp
