sentence,lang
"Железничка станица Вреоци је једна од железничких станица на прузи Београд—Бар. Налази се насељу Вреоци у градској општини Лазаревац у Београду. Пруга се наставља у једном смеру ка Лазаревцу, у другом према Степојевцу. Железничка станица Вреоци састоји се из 8 колосека.",srp
"Prve fuzije gena su opisane u ćelijama raka, u ranim 1980-im. Nalaz je baziran na otkriću 1960. Do kojeg je došao Peter Nowell i David Hungerford u malom abnormalnom markeru tzv. Filadelfija hromosom (Philadelphia) u u bolesnika s hroničnom mijeloidnom leukemijom. To je bio prva hromosomska abnormalnost otkrivene u ljudskim malignostima, kasnije određena Philadelphia hromosomom . Godine 1973., Janet Rowley u Chicagu pokazala je da je Philadelphia hromosom nastao translokacijom između hromosoma hromosoma 9 i 22, a ne putem jednostavne delcije hromosoma 22 kao što je ranije mislilo. Nekoliko istraživača u ranim 1980-ih pokazali su da je translokacija Philadelphia hromosoma dovela do formiranja nove BCR / ABL1 fuzija gena, sastavljene od 3'dijela u ABL1 genu odlomka hromozoma 9 i dijela gena pod nazivom 5 BCR u tački loma u hromosomu 22. Godine 1985. je jasno utvrđeno da je fuzijom gena na hromosom 22 nastao abnormalni himerni BCR / ABL1 protein sa kapacitetom da izazove hroničnu mijeloidnu leukemiju.",bos
037TV svakodnevno emituje 4 sata televizijskog programa u vlastitoj produkciji (16:00-20:00h) i 24 sata radijskog programa (Radio Bihać). Signal se emituje u terestrijalnoj mreži a pokriva širi prostor općine Bihać i dostupan je putem sistema lokalnih kablovskih operatora u Unsko-sanskom kantonu. Program uživo se može pratiti i na zvaničnom web portalu www.rtvbihac.ba.,bos
"Hrvatska riječ psovka dolazi od prasl. pьsovati koja je srodna riječi pas (prasl. i stsl. pьsъ, od ie. pis- = šaren), odnosno psovati je značilo ""govoriti kome kao prema psu"".",hrv
IC 3661 (također poznat kao PGC 1670992) je spiralna galaksija i nalazi se u sazviježđu Berenikina kosa. Prvo otkriće je napravio Charles Joseph Etienne Wolf 27. januara 1904. godine.,bos
"Основна школа „Милутин Јеленић“ основана је 30. новембра 1869. године. То је осморазредна школа у Горњој Трнави,kojoj територијално припадају издвојене четвороразредне школе у Доњој Трнави, Светлићу и Витлини.",srp
"Energetski rezultat dišnog lanca ukupno je 34 molekule adenozin trifosfata. Staničnim disanjem, stoga, uz glikolizu i Krebsov ciklus nastaje ukupno 38 molekula adenozin trifosfata, ali se i potroše 2 molekule ATP-a u Krebsovom ciklusu te u stanici nastaje 36 upotrebljivih molekula ATP-a.",hrv
"Dakle, svaki centurion je zapovijedao osnovnom jedinice legije – centurijom, u kojoj je broj legionara varirao u zavisnosti od epohe i formacije; od oko 80-100 pa i do 160 u pojedinim slučajevima. Na početku su centurije djelovale u grupama po dvije i formirale jednu manipolu. Centurion koji je komandovao prednjom centurijom, onoj koja je u borbenoj formaciji na bojnom polje bila bliže neprijatelju zavao se prior a onaj drugi posterior. Nije sasvim jasno potvrđeno da li je prvi imao određeno starješinstvo nad drugim, ova je distinkcija najvjerovatnije imala uglavnom praktični smisao kod rukovođenja jedinicama u toku bitke i odnosio se na zauzimanje prve ili druge borbene linije.",bos
"Крајна Вас се налази на надморској висини 269,8 м површине 3,47 км². Приликом пописа становништва 2002. године насеље је имало 118 становника",srp
"Braća i sestre su mu bili: Æthelstan Ætheling, Egbert Ætheling, Edmund II. Željeznoboki, Eadwig Ætheling, Edgar Aetheling Stariji, Edita, Ælfgifu, Wulfhilda i jedna opatica Wherwellske opatije kojoj se ime ne zna. Polubraća su mu bili Edvard III. Ispovjednik, Alfred Ætheling, a polusestra mu je bila Goda.",hrv
"Млазни мотори, првенствено се користе за погон авиона. Такође се користе за погон крстарећих ракета и беспилотних летелице. У специфичним апликацијама, користе се за погон специјалних пловила и тркачких аутомобила.",srp
"Time su bili impresionirani i čuveni slikari, kao što su Fra Angelico, Leonardo da Vinci, Sandro Botticelli i Matthias Grünewald. Dan kada je Marija / Mejrem zanijela Isusa / Isu, (25. mart) se kod kršćana svake godine slavi kao praznik Blagovijest.",bos
"Seizmosaurus je bio jedan od najdužih dinosaurusa koji je živeo u gornjoj juri. Njegovo ime znači „zemljotresni gušter“, a dobio ga je upravo zbog svoje kolosalne građe.",srp
"Do teritorijalne reorganizacije u Hrvatskoj nalazio se u sastavu stare općine Knin. Knin je stari hrvatski i bosanski kraljevski grad i mjesto veoma burne historije. U toku posljednjeg Rata u Hrvatskoj (1991-1995), Knin je bio središte bivše samoproglašene Republike srpske krajine.",bos
"У Бејруту постоје две транспортне компаније, једна у државном, Office des Chemins de Fer et des Transports en Commun (OCFTC), друга у приватном власништву Компанија Либанског Друштва (LCC).",srp
"Овај инцидент је довео до примирја између националиста и комуниста да би заједно образовали уједињени фронт против претње које је представљао Јапан. Неке чињенице о инциденту су остале нејасне јер је већина умешаних умрла, а да нису открили детаље. Пре Сијанског инцидента, Комунистичка партија Кине се учврстила у покрајини Шенси пошто је 1934. био протеран из Ђангсија и других области јужне Кине. Јапан је напао североисточну Кину 1931, али је 1933. после освајања дошло до привременог застоја покрајине Жехе. Чанг Кај Шеков одговор на инвазију је био слаб и није подржао маршала Жанга, који се борио да заустави јапанско напредовање.",srp
Rudna kuhinjska so se dobije iz rudnika soli kopanjem na mjestima gdje je nekada davno bilo more i nataložila se so povlačenjem mora (najbolji primjer za to je rudnik soli u Tuzli).,bos
"U oružanim snagama SFR Jugoslavije u sastavu KoV- su bili: rodovi vojske, pješaštvo, oklopne jedinice, topništvo, topničko-raketne jedinice (PVO), veza i atomsko-biološko-kemijska obrana.",hrv
Napomena: Ovaj tekst ili jedan njegov dio preuzet je s internetskih stranica Matice hrvatske. Vidi dopusnicu Matice hrvatske za Wikipediju na hrvatskome jeziku.,hrv
"Ford Motor Company (ili kratko Ford) jeste američki multinacionalni proizvođač automobila sa sjedištem u Dearbornu, savezna država Michigan, predgrađu Detroita. Osnovao ju je Henry Ford i registrirao 16. juna 1903. Kompanija prodaje automobile i komercijalna vozila pod Fordovim imenom i većinu luksuznih automobila pod Lincolnovim brendom. Ford također posjeduje brazilskog proizvođača SUV-ova, Troller, i australskog proizvođača FPV. U prošlosti također je proizvodio traktore i automobilske komponente. Ford posjeduje 2,1% udjela u Mazdi u Japanu, 8% udjela u Aston Martinu iz Ujedinjenog Kraljevstva, i 49% udjela u Jiangling iz Kine. Ima također veliki broj zajedničkih ugovora, jedan u Kini (Changan Ford Mazda), jedan u Tajvanu (Ford Lio Ho), jedan na Tajlandu (AutoAlliance Thailand), jedan u Turskoj (Ford Otosan), te jedan u Rusiji (Ford Sollers). Na spisku je Njujorške berze i pod kontrolom je porodice Ford, iako imaju manjinsko vlasništvo.",bos
"Норман Шварцкопф је рођен у Трентону, Њу Џерзи као син Рут Елис (рођена Боуман) и Херберта Нормана Шварцкопфа. Његов отац је служио у Америчкој војсци пре него што је прешао у полицију Њу Џерзија, где је био главни истражитељ у чувеној отмици Линдбергове бебе, али се вратио у војску где је дошао до чина генерал-мајора. Јануара 1952, у Шварцкопфовој крштеници измењено је име у Х. Норман Шварцкопф. Његове везе са Персијским заливом су настале врло рано. 1946, кад је имао 12 година, породица се придружила оцу који је био стациониран у Техерану, где је учествовао у операцији Ајакс.",srp
Temelj je proizvodne linije koja se primjenjuje u industrijskoj proizvodnji. Na proizvodnoj liniji komponente se sklapaju u krajni proizvod puno brže nego u slučaju obrtničke proizvodnje. Proizvodne linije su temelj za masovnu proizvodnju. Prvu proizvodnu traku je uveo amerikanac Henry Ford za masovnu i jeftiniju proizvodnju automobila.,hrv
"Francuski teritorij u Sjevernoj Americi se dodatno proširio 1699. godine osnivanjem Louisiane. Kako se francuski imperij u Sjevernoj Americi širio, Francuzi su počeli stvarati manji ali mnogo profitabilniji kolonijalni imperij na Karibima. Kolonizacija područja današnje Francuske Gvajane počela je 1624. godine, a 1627. osnovana je kolonija na otoku Saint Kitts. Godine 1635. osnovane su kolonije u Guadeloupeu i Martiniqueu, a 1650. na otoku Sveta Lucia. Plantaže hrane na tim kolonijama izgrađene su i održavane uz pomoć afričkih robova. Najvažnija kolonija na Karibima nastala je 1664. (Santo Domingo - današnji Haiti). Santo Domingo je u 18. stoljeću postao kolonija najbogatija šećerom na Karibima.",hrv
"Космос-1234 је лансиран са космодрома Плесецк, СССР, 23. децембра 1980. Ракета-носач Р-14 Чусоваја (рус. Чусовая) (8К65, НАТО ознака SS-5 Skean) са додатим степеном је поставила сателит у орбиту око планете Земље. Маса сателита при лансирању је износила 40 килограма. Космос-1234 је био комуникациони сателит.",srp
"Марија Терезија је постала велика војвоткиња Тоскане 9. јула 1737. године када је њен муж наследио то велико војводство. Следеће године, по отпусту Франца из војске, цар Карло VI послао је кћерку и зета у Фиренцу како би тријумфално ушли у град. У Фиренци су остали кратко, пошто их је Карло VI убрзо позвао назад, бојећи се да не умре док је његова престолонаследница миљама далеко. У лето исте године, Аустрија је трпела поразе током Руско-турског рата. Османлије су повратиле територије који је Аустрија добила у Србији, Влашкој и Босни. Становништво Беча се бунило против рата због његове скупоће, а Франц Стефан је био презиран.",srp
"Dočasnički činovi označeni su prugama savijenim pod kutom i vrhom okrenutim prema dolje: jedna pruga je rav samal, a dvije rav samal rišon. Obje oznake su bez ikakvih dodataka u obliku lista ili zvjezdica, za razliku od viših dočasničkih činova gdje su jedna, dvije ili tri takve pruge dopunjene malom Davidovom zvijezdom i označuju činove (od najnižeg do najvišeg): rav samal mitkadem, rav samal bahir i rav nagad.",hrv
"Kroz historiju muzike melodija je mijenjala svoj karakter, pa je na primjer za barokno razdoblje njena osnovna osobina bila motoričnost, u klasici simetrija, a u romantizmu raspjevanost i veliki opseg. Melodije u muzici kod većine evropskih zemalja napisanih prije 20. vijeka sadrže ponavljajuće ""događaje, često periodične, na svim strukturalnim nivoima"" i ""ponavljanje trajanja i obrasce trajanja"" koji su također važni u muzici 20. vijeka.",bos
"1790: Smith–Philidor – François-André Danican Philidor, za koga su rekli da je rekao ""Pješaci su duša šaha"", demonstrira snagu nadmoćne pješačke formacije",bos
"Detaljnim međusobnim poređenjima genoma denisovskog, neandertalskog i modernog čovjeka, nađeni su dokazi složene mreže hibridizacije različitih vrsta. Kao rezultat toga, 17% denisovskog genoma potiče iz lokalne populacije neandertalaca, a u jedarnom genomu su uočeni i genetički dokazi miješanjao s jednom, još uvijek neotkrivenom, linijom hominina, vjerojatno izvorom neuobičajeno stare, konzervirane mtDNK.",bos
"Objektiv je u suvremenim mikroskopima sastavljen od više optičkih leća malene žarišne duljine, koje djeluju kao jedinstvena sabirna ili konveksna leća. Kako bi se dobila što jasnija slika, u takvim su sustavima ispravljene (korigirane) pogreške leća (kromatska i sferna aberacija, zakrivljenost ravnine slike).",hrv
Алтусрид (њем. Altusried) град је у њемачкој савезној држави Баварска. Једно је од 28 општинских средишта округа Обералгој. Према процјени из 2010. у граду је живјело 9.973 становника. Посједује регионалну шифру (AGS) 9780112.,srp
"Као клиничка специјалност и једна од грана интерне медицине, хематологија се бави дијагностиком и терапијом, прогнозом и превенцијом урођених и стечених поремећаја крви, поремећаја згрушавања крви, малигних болести крви (укључујући и све врсте хемофилије, леукемије, лимфоме и анемије српастих ћелија).",srp
"Slijedeći argumentaciju iz Parmenidova spjeva ""O prirodi"", Melis tvrdi da svemir nije živ, da ne može niti rasti niti se smanjivati, ne može trpjeti bol i patnju, tj. nema nikakav senzibilitet. On time prekida grčku tradiciju koja je vjerovala da je sve postojeće slično organizmu. Kod Melisa nema više govora o tome da se svemir rađa i umire, ono što postoji – vječno je.",hrv
Rebel Extravaganza četvrti je studijski album norveškog black metal sastava Satyricon. Album je 1999. godine objavila diskografska kuća Moonfog Productions.,hrv
"Ljubomorni Zeusov sin Epaf nije mogao podnijeti da je Faetont, Helijev sin, blistav i sjajan poput oca te ga je u svađi nazvao potomkom ništavnog smrtnika. To je Faetonta jako uvrijedilo, ali i natjeralo da posumnja te je otišao Heliju i ispitivao ga je li mu on sigurno babo. Helije ga je uvjeravao, ali se Faetont nije mogao smiriti, stoga se Helije zakleo presvetom rijekom Stiks da će mu kao dokaz ispuniti bilo koju želju. Faetont je poželio da jedan dan vozi očeva kola. Helije se uplašio i počeo razuvjeravati Faetonta da to nije za smrtnike te da je neiskusan u kroćenju vatrenih i blistavih, krilatih konja koji vuku kočiju. Međutim, Faetont se nije dao razuvjeriti te je, zbog zakletve, Helije morao ispuniti obećanje. Skinuo je svoju zlatnu krunu i ukratko mu objasnio kako upravljati kočijom. Faetont je potjerao Helijeva kola, a krilati su konji osjetili da ih ne vodi poznata i čvrsta ruka te su skrenuli sa svoje svakodnevne putanje. Isprva su se podigli previsoko te se zemlja smrznula, a potom su se spuštali su se i padali sve niže, a od plamena su uzavrele rijeke, zemlja se sušila i pucala (nastajale su pustinje - Sahara), a šume su gorjele - čak su se i vrata Hada otvorila. Geja je zaprijetila Faetontu i pozvala Zeusa da spriječi uništenje zemlje. Zeus je poslao munju na Faetonta koji se srušio u bezdan, u rijeku Eridan, i umro, ali je život na zemlji bio spašen. Helije je bio neutješan te je toga dana zemlja ostala bez sunca. Faetontove sestre Helijade pretvorile su se u topole, a od njihovih je suza nastao jantar. Zeus je darovao Heliju labudove koji će mu vući kočiju umjesto uništenih konja. Nakon Titanomahije, Zeus je sebi uzeo nebo i Zemlju, Posejdonu dao more, a Hadu podzemlje, a i ostalim je bogovima nešto podijelio, samo je Helije ostao zakinut. Da bi se ispričao na zaboravnosti, darovao mu je ostrvo Rod koji se pojavio na moru. Također je dao napraviti velik kip Kolosa njemu posvećen, na ulazu u luku.",bos
"Osnivač je časopisa ""English Review"" i ""Transatlantic Review"", oko kojih su se okupljali D.H. Lawrence, H. James, E. Pound, James Joyce. Proizašao je iz kruga prerafaelita i brzo prihvatio moderna strujanja. Djelovao je kao pjesnik, kritičar i esejist, a najznačajniji je kao romanopisac. U romanima iznosi raspad starih vrednota i nastanak novog poretka poslije Prvog svjetskog rata. Stil mu se odlikuje odmjerenošću i ironijom. Neke romane (""Nasljednici"", ""Romansa"") pisao je zajedno s J. Conradom.",bos
"6. oktobra je Mazzarri zamjenio Roberta Donadonija na klupi sicilijanskog Napolija. Tu je sezonu ekipa završila na 6. mjestu što je ovom treneru donijelo novi, trogodišnji, ugovor.",bos
"Osnovani su 1992. prvi članovi su bili Adrian Sieber, Sebastian ""Baschi"" Hausmann i Julie Lauper. Članovi su se upoznali u glazbenom dućanu ""Drummer Wanted"", te su osnovali sastav i nazvali ga Lovebugs. Osvojili su lokalno talent natjecanje što je omogućilo da snime svoj prvi zapis. Samo godinu dana nakon početka, Julie je napustio sastav, a zamijenio ga je Simon Ramseier.",hrv
"Рођен је 1945. у Романовцима код Градишке. Пољопривредни факултет у Сарајеву је завршио 1971, магистрирао 1978, и докторирао 1984. године. Био је члан Савезног извршног вијећа Социјалистичке Федеративне Републике Југославије и Министар секретар за пољопривреду, шумарство и водопривреду СФРЈ у периоду 1988—1992, те предсједник Савјета за аграрну политику Савезне Владе СФРЈ. Био је предсједник УО Института за проучавање љековитог и ароматичног биља „Јосиф Панчић“ у Београду. Радио је као директор Пољопривредне банке, Агробанке у Београду, у периоду 1992—2004. Члан је комисије за рурални развој Републике Српске. Сарадник је агрономског часописа Агрознање из Бањалуке. Постао је сенатор Републике Српске у другом сазиву Сената 2009. године.",srp
"U lipnju 2017., Štromar i Blaženka Divjak jedini su prihvatili koaliciju s HDZ-om u Saboru. Od 9. lipnja 2017. vrši dužnost potpredsjednika Vlade RH i ministra graditeljstva i prostornog uređenja.",hrv
"Većina Kineza ne pripisuje brojeve godinama kineskog kalendara. Oni rjeđi koji to čine, poput Kineza u inozemstvu, koriste kontinualno brojenje godina od vladavine legendarnog Žutog Cara, 2698. p.n.e. uzimaju kao godinu 1. Zapadni pisci počinju brojenje bilo na 2637. p.n.e., ili 60 godina ranije, na 2697. p.n.e. Tako početkom 2018. može početi kineska godina 4655 ili 4715. Moguće je da se godina označava i brojem iz službenog gregorijanskog kalendara, premda se one sasvim ne poklapaju.",hrv
"Језик: Швајцарски Немци чине традиционално становништво града и немачки језик је званични у граду и кантону. Међутим, градско становништво је током протеклих неколико деценија постало веома шаролико, па се на улицама Херисауа чују бројни други језици. Тако данас немачки језик матерњи за 87,0% становништва, а најзначајнији мањински језици су српскохрватски (3,8%) и италијански језик (3,4%).",srp
"Procene su da je bio dug od 40 do 50 metara. Imao je ogroman rep nalik biču koji se završavao kupastim proširenjem čija uloga još uvek nije sa sigurnošću utvrđena. Kičmeni pršljeni u repu i oni u vratu su sa donje strane bili ojačani dodatnim izraštajima. Glava mu je bila majušna i zbog toga, kao i ostalih navedenih oblika, ovaj dinosaurus je bio tipičan diplodocid. Bio je težak do 30 tona, mada se procene kreću i do duple vrednosti.",srp
28. januar - Evropska unija je odlučila da prihvati preporuke sa samita UN-a o klimi da za 30 odsto smanje emisiju štetnih gasova do 2020. godine.,bos
"Osnovna djelatnost stanovništva Vrbanje u prošlosti je bila poljoprivreda. Od polovine dvadesetog vijeka mnogi stanovnici su se zaposlili u banjolučkoj industriji ali je poljoprivreda i dalje ostala osnovna djelatnost. Tokom 1990-ih lokalno (pretežno bošnjačko) stanovništvo je doživjelo sudbinu svih bošnjačkih naselja u dolini Vrbanje, od Kruševa Brda do Banjaluke. Ubijano je i protjerano, a imanja su zaposjeli lokalni i novopridošli Srbi. Međutim, povratak Bošnjaka u Vrbanju je jedan od uspješnijih projekata repatrijacije u Bosanskoj Krajini.",bos
"Za veliko povećanje slika vrlo sitnih predmeta za proučavanje strukture različitih tijela služi mikroskop. U biti on se sastoji od dviju sabirnih ili konveksnih leća koje su centrično smještene u jednoj cijevi, tubusu. Optička leća koja stoji nasuprot predmetu, takozvani objektiv, ima malu žarišnu daljinu i mali promjer. Objektiv se prema predmetu namjesti tako da se predmet nalazi izvan žarišne daljine. Kako je predmet vrlo malen, osvjetljava se pomoću konkavnog (ispupčenog) sfernog zrcala. Pomoću objektiva dobiva se od predmeta stvarna (realna), obrnuta i uvećana slika. Ta se slika promatra drugom lećom većeg promjera koja se zove okular, a smještena je tako da stvarna slika, koju daje objektiv, pada blizu žarišne daljine okulara. Okular koji pri tom služi kao povećalo stvara uvećanu i prividnu (virtualnu) sliku predmeta na daljini jasnog vida, to jest na daljini od 250 milimetara.",hrv
Разлика у горње две табеле од 4 учесника (2 мушкарца и 2 жене) настала је у овој табели јер је сваки спотиста без обриза колико је пута учествовао на играма и у колико разних спортова на истим играма рачунат само једном,srp
"Егзархат је нестао, али остали су мали остаци царских поседа на италијанском копну. То су били Напуљ и Калабрија, које су дошле под контролу византијског Катапаната Италије. Када су Арапи заузели Сицилију у 9. веку, остаци византијских територија су организовани у теме од Калабрије и Ломбардије. Истра је прикључена Далмацији, која је тада била у византијском поседу.",srp
"Od Donjih Lillooeta tri manje grupe su se odvojile i stvorile vlastitu organizaciju In-SHUCK-ch na donjem Lillooet Riveru. Ove bande su Samahquam, Skatin First Nation i Douglas First Nation ili Xáxtsa7.",hrv
"Ovaj pravopisni znak ( - ) je u vrlo čestoj upotrebi u francuskom pravopisu. Pomoću njega se pokazuje da dvije ili više riječi čine jedinstvenu cjelinu, odnosno predstavljaju jedan pojam:",bos
". Frederick Webb Hodge, ed., Handbook of American Indians North of Mexico (2 vols., Washington: GPO, 1907, 1910; rpt., New York: Pageant, 1959).",hrv
Svake godine tributska skupština birala je 24 mladića koji su bili u kasnim dvadesetim i koji su imali političkih ambicija za vojne tribune (tribuni militum). Svakoj od četiri konzulske legije bila su dodijeljena po šestorica vojnih tribuna kao viši zapovjednici legije.,hrv
"Estrus traje 5-6 dana, te je obilježen bučnim glasanjem i mirisnim porukama. Pustinjska mačka u prosjeku okoti tri mačića nakon 59-66 dana, najčešće u travnju ili svibnju. Tjelesna masa mačića pri rođenju je 39-80 grama, te imaju blijedo-žuto ili crvenkasto krzno. Rastu relativno brzo; s pet mjeseci života dosegnu tri četvrtine konačne veličine. Nakon manje od godinu dana postaju samostalni, te ubrzo postaju spolno zreli.",hrv
"U ovaj popis nisu uključeni otoci i sve površine koje nisu trajno naseljene. Za razliku od podataka o površini pojedinih zamalja, ovdje su u ukupnu površinu uključene i rijeke, jezera, rezervari, pa će brojke biti nešto veće.",hrv
"Nakon što je osvojio Oscara, Michael Todd je održao veliku zabavu u Madison Square Gardenu. 18.000 gostiju je prisustvovalo, ali slavlje je često puta prijetilo da se pretvori u totalni haos. Todd je sam priznao da je zabava bila katastrofa.",bos
"George Ernest Thompson Edalji (Engleska, ožujak 1876. - Welwyn Garden City, 17. srpnja 1953.), engleski odvjetnik koji je nepravedno osuđen za slučaj poznat kao “Great Wyrley Outrages“.",hrv
"Prvi poznati veliki kralj ili ""kralj kraljeva"" (šar šarrāni) je bio Tukulti-Ninurta I, kralj Asirije, koji je vladao od 1243. do 1207. godine p.n.e..",bos
"Neki autori navode, ali još uvijek bez genetičkih dokaza, da su ljudi iz Crvenojelenje špilje u Kini nastali križanjem Homo sapiens i denisovskih ljudi, nekoliko hiljafda godina nakon posljednje glacijacije.",bos
"Pri gušenju domorodačkog ustanka na Madagaskaru 1947. godine ubijeno je oko 80 000 ustanika, iako su Francuzi priznavali samo 11 505 mrtvih. Prema njihovim službenim izvješćima poginulo je u neposrednim sukobima 4 928, a ostali su pobjegli u džunglu kako bi se sakrili, te tamo nestali ili pomrli od gladi ili tjelesne iznurenosti.",hrv
"Uobičajena su dva grafička zapisa: +/- i ±. Potonji koristi se ponešto rjeđe, bez obzira što bi takav zapis bio pravilniji. Naime, plus-minus učinak nije nikakav razlomak ni omjer, što bi se možda dalo zaključiti iz kose crte u prvom zapisu.",hrv
"Јанић, Чедомир (2003). Век авијације - [илустрована хронологија] (на језику: (српски)). Беочин: Ефект 1. (COBISS.SR). CS1 одржавање: Непрепознат језик (веза)",srp
"Долази Први светски рат. Он је још погубнији за људе Трнаве. И учитељ Лучић је на фронту. Школа није радила до 1917. године, а тада је започела са окупљањем ученика. Други светски рат оставио је дубоке трагове на школу у Трнави. Туга је, али истина, учитељ Братислав Живановић, убијен у школској згради, а учитељ Милован Павловић изведен је из школске зграде и заклан.",srp
"Vezo su narod malajsko-indonežanskog podrijetla, njih Malgaši zovu nomadima mora jer znaju ostati po nekoliko dana na moru u svojim malim pirogama u potrazi za riboma. Danas mnogi smatraju da su Vezo samo dio naroda Sakalava, s čijom poviješću su uvijek bili neposredno povezani.",hrv
"Roselia je dvostruki tip Travnati/Otrovni Pokémon, pa uči nekoliko napada koji se koriste da bi dosađivali protivnika, kao što su Omamljujuća spora (Stun Spore), Travnati žvižduk (Grasswhistle), Toksin (Toxic) i Zametak pijavice (Leech Seed). Najbolje je naučiti Roseliju ovim napadima kako bi se uzgajanjem prenijeli na Pokémone koji imaju bolje borbene sposobnosti kao što je Blissey.",bos
Miroljubiva priroda koncerta bila je prolazna budući da je nasilje ponovo buknulo naredne godine kad je počeo rat na Kosovu. NATO-ve trupe ostale su u Sarajevu do 2004.,bos
"Nakon odlaska Edoarda Reje sa klupe splitskog Hajduka prije početka proljetnog dijela sezone 2009./10., Poklepović je preuzeo klupu splitskih ""bilih"", te ispunjava postavljeni cilj do kraja sezone - osvaja naslov pobjednika kupa.",hrv
"Са Еминим доласком, клетва је почела да слаби, време је наставило да тече, а Ређинино дрво јабука почело је да показује знакове крварења. Једном када је клетва разбијена, становници који су прешли градску границу остала су им њихова ново обновљена сећања, а сећања на ликове из бајке су им обрисани. Они се једино сећају њиховог идентитета из Сторибрука. Такође, они који имају моћи, изгубили би их ако пређу границу града, мада Зелена је била изузетак, јер су њене способности као вештице да путује кроз краљевства. Слабљење клетве омогућава људима из спољашњег света улазак у Сторибрук. Ликови који су дошли су Грег Мендел (који је, заједно са својим оцем био сведок доласка тог града 1983.), а касније и Тамара (након што је пратила Аугуста из Хонг Конга). Епизода ""Трик са шеширом"" показује Земље Чуда Левиса Керола, Алисине Авантуре у Земљи Чуда. То показује да други светови или универзуми постоје; у цртаном филму Доктор, Др. Франкенштајн је за кратко време доведен у Зачарану шуму, а касније и у Сторибрук (као Др. Вејл) и он изражава забринутост да ли су сви светови нестали. Такође је откривено у епизоди Једна јабука, црвена као крв, да је могуће преузети једну ставку из Зачаране шуме и донети је у данашњи дан.",srp
"Između spojenih dijelova može nastati zračnost ili preklop. To se postiže izborom položaja i kvaliteta tolerancijskih polja, tako da se tolerancijska polja u cijelosti ili djelomično prekrivaju. Dakle, dosjed može bit čvrst ili labav, ovisno o stvarnim mjerama osovine i provrta. Sastavljanje dijelova s prijelaznim dosjedom je izvedivo ručno, ali i upotrebom uzdužne sile.",hrv
Tokom više od dvadeset sljedećih godina samoproglašeni kralj Luj XVIII živi od kraljevskih milostinja na dvorovima u Rusiju i Engleskoj s izgubljenom nadom u osvajanje krune. Sudbina mu se ipak neočekivano nasmješila katastrofalnom invazijom Rusije od strane Napoleona. Poslije tamošnjeg njegovog poraza slijede još dvije slične poražavajuće godine koje završavaju ulaskom protufrancuske koalicije u Pariz.,bos
"Kupola tenka se nalazila na srednjem dijelu trupa, komandir tenka i nišandžija su se nalazili u desnom dijelu kupole, a punilac topa na lijevoj strani. Oklop kupole je bio višeslojni. Komandir i punilac topa imaju kružni otvor na kupoli, koji se otvara prema nazad i šest periskopa koji pružaju pogled oko cijelog tenka za komandira. Oba otvora imaju postolja za montiranje 7,62 mm MG3 mitraljeza za zračnu obranu.",bos
"Veletin je smješten na desnoj obali rijeke Neretve između naselja Ocrkavlja i Doljana na području Bjelimića, na visoko uzdignutoj stijeni iznad korita Neretve (oko 400 metara). Tvrđava je nepravilnog četverougla. Prilaz tvrđavi je sa jugoistočne strane. Na ulazu je kamena stolica uklesana u živoj stijeni. Tvrđava se prvi put spominje u historijskim izvorima 29. juna 1442. godine. Tada tvrđava već ima svoje podgrađe. U dokumentu se navodi da je Vukac Deković iz podgrađa Veletina koji je u Bosni (Vochaç Dechouich de subtus castrum Velletin prouintie Bosine) ugovorio šestogodišnju službu i izučavanje zanata kod kožara Radete Nenkovića. Veletin se spominje u poveljama za Stjepana Vukčića Kosaču (1444 – Veletin Vsagorie castello con contato; 1448 – castrum Welletin; 1454 – civitate Velletino cum castris et pertinentiis suis). Početkom aprila 1465. godine podignuta je tužba protiv braće Radelje i Miobrata Dragovića ljude bosanskog vlastelina Jurja Čemerovića iz Podveletina (de Subtus Velletin rusticos Jurgi Cemerouich de Bosina). Na širem području su značajni lokaliteti sa stećcima koji ukazuju na naseljenost područja.",bos
Spisak gradova u Brazilu po broju stanovnika se prvenstveno bazira na broju stanovnika općina gdje se grad nalazi prije nego metropolitanskog područja koje pripada datom gradu. Podaci se temelje na osnovu procjena Brazilskog instituta za geografiju i statistiku iz perioda 1. juli 2014. godine.,bos
"Другим речима летелица је погоњена са истим потиском ако се валика количина гаса споро креће на излазу, или мала количина брзо. У пракси локални делови издувних гасова могу бити бржи од других, али је важан њихов „просечан ефекат“ што се зове „ефективна брзина издувних гасова“ -",srp
Talijanski fašisti su rabili rimske brojeve za označavanje godina od ustanovljenja fašističke vlade 1922. Tako je npr. godina 1934. bila Godina XII (Anno XII). Ova era je ukinuta padom fašizma 25. srpnja 1943. (Anno XXI).,hrv
"Херисау се први пут помиње 837. године. Околина је тада припадала манастиру Санкт Гален. 1433. године, Херисау је стекао назависност од Санкт Галена. У време реформације је месно становништво је прихватило протестантску веру. Између 1798. и 1803. године Херисау је био главни град кантона Сентиса. Од 1803. године до данас је главни град кантона Апенцела Аусеродена.",srp
